TCGA-A7-A13D-01A-13R-A12P-07	TCGA-E9-A1RH-11A-34R-A169-07
MS4A12	0	0
MS4A13	0	0
MS4A14	25	124
MS4A15	90	1
MS4A18	0	0
MS4A2	8	324
MS4A3	0	1
MS4A4A	74	2652
MS4A4E	3	90
MS4A5	0	0
MS4A6A	127	3816
MS4A6E	0	1
MS4A7	142	1663
MS4A8	1	1
MSANTD1	15	3
MSANTD2	319	506
MSANTD3	1479	487
MSANTD3-TMEFF1	0	0
MSANTD4	675	1220
MSC	434	298
MSGN1	0	0
MSH2	4972	1242
MSH3	534	2184
MSH4	3	13
MSH5	34	56
MSH6	7629	2687
MSI1	1030	36
MSI2	2295	2293
MSL1	4908	5464
MSL2	2089	2422
MSL3	3120	1531
MSLN	756	10
MSMB	68	2
MSMO1	2741	1173
MSMP	0	0
MSN	55267	27309
MSR1	991	1103
MSRA	272	1225
MSRB1	1087	1325
MSRB2	3222	2099
MSRB3	1895	8544
MSS51	35	96
MST1	70	135
MST1L	11	61
MST1R	843	192
MSTN	6	41
MSTO1	1164	650
MSX1	120	965
MSX2	30	165
MT1A	114	92
MT1B	1	0
MT1E	4562	709
MT1F	673	256
MT1G	1248	71
MT1H	0	1
MT1HL1	1	0
MT1M	182	265
MT1X	530	1906
MT2A	3464	2233
MT3	45	1
MT4	0	0
MTA1	1708	1848
MTA2	6239	4131
MTA3	4265	2418
MTAP	1997	1828
MTARC1	356	14309
MTARC2	210	3321
MTBP	921	154
MTCH1	9360	10106
MTCH2	5645	4787
MTCL1	295	243
MTCP1	31	21
MTDH	11899	9851
MTERF1	717	547
MTERF2	235	668
MTERF3	1548	725
MTERF4	625	1414
MTF1	2694	1827
MTF2	2966	1052
MTFMT	396	524
MTFP1	21	2
MTFR1	3731	1228
MTFR1L	944	2560
MTFR2	721	20
MTG1	216	72
MTG2	3620	1135
MTHFD1	2828	11155
MTHFD1L	2486	710
MTHFD2	6551	1075
MTHFD2L	424	405
MTHFR	732	1276
MTHFS	17	34
MTHFSD	460	715
MTIF2	2591	2258
MTIF3	868	2488
MTM1	751	972
MTMR1	2024	1451
MTMR10	584	5253
MTMR11	823	596
MTMR12	7057	4731
MTMR14	2304	1965
MTMR2	3215	2777
MTMR3	321	761
MTMR4	2417	2999
MTMR6	2268	2512
MTMR7	60	59
MTMR8	92	49
MTMR9	474	1188
MTNR1A	5	0
MTNR1B	0	0
MTO1	635	1167
MTOR	3534	4793
MTPAP	2510	1011
MTPN	13878	13190
MTR	2834	4519
MTRF1	280	301
MTRF1L	191	354
MTRR	1784	2130
MTSS1	2055	2253
MTTP	11	38
MTURN	1224	23819
MTUS1	2542	7342
MTUS2	71	15
MTX1	1732	718
MTX2	2037	1315
MTX3	684	2063
MUC1	23699	1051
MUC12	17	5
MUC13	46	3
MUC15	572	123
MUC16	6398	190
MUC17	1	0
MUC2	3	0
MUC20	850	78
MUC21	0	0
MUC22	2	1
MUC3A	547	219
MUC4	20	22
MUC5AC	12	0
MUC5B	9679	131
MUC6	1	281
MUC7	3	2
MUCL1	53	13296
MUL1	1739	1972
MUS81	1093	749
MUSK	2	21
MUSTN1	2	1
MUTYH	35	15
MVB12A	1211	1151
MVB12B	741	959
MVD	1966	637
MVK	1050	649
MVP	6010	5717
MX1	14292	3625
MX2	3127	2095
MXD1	2544	1005
MXD3	387	72
MXD4	2721	6288
MXI1	3628	3927
MXRA5	27598	7501
MXRA7	4115	9260
MXRA8	4353	11163
MYADM	10236	8266
MYADML2	11	0
MYB	1363	532
MYBBP1A	4569	1938
MYBL1	1167	163
MYBL2	11915	107
MYBPC1	34	542
MYBPC2	29	4
MYBPC3	2	6
MYBPH	7	1
MYBPHL	6	2
MYC	7904	1757
MYCBP	1183	764
MYCBP2	2493	16047
MYCBPAP	13	57
MYCL	1291	60
MYCN	582	56
MYCT1	466	2568
MYD88	4884	2016
MYDGF	6575	1988
MYEF2	729	471
MYEOV	61	1471
MYF5	0	0
MYF6	0	0
MYH1	17	441
MYH10	6413	11832
MYH11	3518	18343
MYH13	33	13
MYH14	26423	3251
MYH15	36	16
MYH2	6	67
MYH3	226	176
MYH4	11	5
MYH6	0	0
MYH7	0	0
MYH7B	55	142
MYH8	8	10
MYH9	156319	64433
MYL1	0	0
MYL10	4	0
MYL12A	14412	9440
MYL12B	25957	16255
MYL2	2	12
MYL3	15	182
MYL4	19	16
MYL5	185	465
MYL6	24984	32484
MYL6B	1115	836
MYL7	35	157
MYL9	28582	31514
MYLIP	1344	3994
MYLK	9494	18302
MYLK2	70	1
MYLK3	5	17
MYLK4	72	86
MYNN	778	916
MYO10	22186	1820
MYO15A	38	40
MYO16	37	818
MYO18A	3122	2929
MYO18B	0	31
MYO19	2328	681
MYO1A	3	2
MYO1B	7020	4848
MYO1C	19928	44675
MYO1D	9054	3190
MYO1E	5012	2191
MYO1F	256	636
MYO1G	228	138
MYO1H	7	35
MYO3A	21	14
MYO3B	252	21
MYO5A	2840	3233
MYO5B	4534	672
MYO5C	1225	2332
MYO6	11173	4088
MYO7A	81	823
MYO7B	17	261
MYO9A	1366	3704
MYO9B	4608	2852
MYOC	0	3773
MYOCD	27	180
MYOD1	0	0
MYOF	15890	10224
MYOG	2	0
MYOM1	118	3903
MYOM2	11	276
MYOM3	34	90
MYOT	1	8
MYOZ1	47	52
MYOZ2	3	16
MYOZ3	36	40
MYPN	164	6
MYPOP	839	250
MYRF	407	83
MYRFL	25	2
MYRIP	3	805
MYSM1	1883	2027
MYT1	39	0
MYT1L	0	1
MYZAP	40	1707
MZB1	45	358
MZF1	565	528
MZT1	985	773
MZT2A	2839	540
MZT2B	1788	518
N4BP1	2820	3571
N4BP2	343	815
N4BP2L1	119	1215
N4BP2L2	2288	4889
N4BP3	3702	230
N6AMT1	497	670
NAA10	1495	461
NAA11	0	1
NAA15	3944	2230
NAA16	494	634
NAA20	3562	2348
NAA25	1601	1326
NAA30	1086	2411
NAA35	1377	1500
NAA38	1758	1021
NAA40	954	704
NAA50	14161	8562
NAA60	2324	1925
NAAA	999	1162
NAALAD2	29	1667
NAALADL1	86	282
NAALADL2	1856	1035
NAB1	2194	3273
NAB2	1634	728
NABP1	1176	1092
NABP2	1806	1266
NACA	14351	25272
NACA2	11	13
NACAD	169	683
NACC1	4917	1234
NACC2	3271	3984
NADK	2528	4713
NADK2	1976	2016
NADSYN1	2174	1707
NAE1	2761	1870
NAF1	709	657
NAGA	2853	2181
NAGK	4080	2248
NAGLU	3039	2562
NAGPA	448	502
NAGS	142	67
NAIF1	515	339
NAIP	7	47
NALCN	1128	95
NAMPT	6365	5629
NANOGNB	2	0
NANOS1	382	330
NANOS2	2	0
NANOS3	35	5
NANP	744	468
NANS	2056	940
NAP1L1	12828	25901
NAP1L2	104	328
NAP1L3	72	318
NAP1L4	5857	5560
NAP1L5	74	522
NAPA	3975	2504
NAPB	640	669
NAPEPLD	1270	1343
NAPG	1163	1794
NAPRT	1230	636
NAPSA	23	10
NARF	6136	1890
NARS2	495	747
NASP	8445	3778
NAT1	185	269
NAT10	3714	2445
NAT14	1060	128
NAT16	4	0
NAT2	14	7
NAT8	3	2
NAT8B	3	1
NAT8L	1133	15392
NAT9	2583	764
NATD1	566	5343
NAV1	2998	5979
NAV2	1318	1921
NAV3	189	984
NBAS	5184	5545
NBEA	258	1128
NBEAL1	1165	1708
NBEAL2	3804	1645
NBL1	7269	4579
NBN	6073	5276
NBPF1	770	1543
NBPF10	127	215
NBPF11	482	335
NBPF12	640	662
NBPF14	385	590
NBPF20	153	107
NBPF3	511	1093
NBPF4	2	8
NBPF6	25	3
NBPF8	337	212
NBPF9	367	386
NBR1	4564	12055
NCALD	3432	2543
NCAM1	390	315
NCAM2	150	261
NCAN	53	1
NCAPD2	8144	2618
NCAPD3	2586	1157
NCAPG	1345	107
NCAPG2	4332	853
NCAPH	3443	87
NCAPH2	2339	1440
NCBP1	2448	2682
NCBP2	4757	4439
NCCRP1	10252	65
NCDN	2629	862
NCEH1	870	684
NCF1	37	144
NCF2	550	1108
NCF4	118	583
NCK1	2219	2225
NCK2	5289	1727
NCKAP1	16399	12037
NCKAP1L	300	1850
NCKAP5	1146	334
NCKAP5L	2103	1183
NCKIPSD	3319	1762
NCL	43090	26636
NCLN	4286	1772
NCMAP	691	126
NCOA1	2617	6003
NCOA2	5277	3967
NCOA3	4055	3388
NCOA4	10708	26181
NCOA5	4589	1902
NCOA6	6938	3497
NCOA7	4749	4166
NCOR1	5635	7595
NCOR2	10696	7149
NCR1	7	8
NCR2	0	0
NCR3	1	17
NCR3LG1	19	53
NCS1	4509	681
NCSTN	14948	9070
NDC1	4772	1457
NDC80	2117	51
NDE1	1283	710
NDEL1	2809	2329
NDFIP1	5562	13803
NDFIP2	1140	1644
NDN	475	5746
NDNF	160	1167
NDOR1	535	436
NDP	43	82
NDRG1	106977	22563
NDRG2	6016	11113
NDRG3	4726	2409
NDRG4	561	625
NDST1	13370	10595
NDST2	6	12
NDST3	15	0
NDST4	0	0
NDUFA1	5301	4247
NDUFA10	4374	6375
NDUFA11	226	197
NDUFA12	1157	1849
NDUFA13	30	16
NDUFA2	768	950
NDUFA3	3614	1618
NDUFA4	10919	8892
NDUFA4L2	4204	1232
NDUFA5	1990	4158
NDUFA6	4010	3106
NDUFA7	6	14
NDUFA8	1963	2348
NDUFA9	731	512
NDUFAB1	2667	2489
NDUFAF1	443	1176
NDUFAF2	507	973
NDUFAF3	1889	2340
NDUFAF4	745	1023
NDUFAF5	657	620
NDUFAF6	1183	679
NDUFAF7	1031	669
NDUFB1	1120	2140
NDUFB10	2554	3064
NDUFB11	5266	3023
NDUFB2	3979	1925
NDUFB3	2417	1881
NDUFB4	5603	4098
NDUFB5	3129	6888
NDUFB6	1297	1669
NDUFB7	2362	2716
NDUFB8	149	185
NDUFB9	13949	3915
NDUFC1	1326	1685
NDUFC2	453	902
NDUFC2-KCTD14	0	0
NDUFS1	3450	9479
NDUFS2	15762	6385
NDUFS3	2409	3090
NDUFS4	1037	3118
NDUFS5	8137	6772
NDUFS6	4498	1700
NDUFS7	225	237
NDUFS8	2615	2826
NDUFV1	4838	5270
NDUFV2	44	16
NDUFV3	2524	3569
NEB	177	71
NEBL	11629	2319
NECAB1	70	229
NECAB2	18	9
NECAB3	1464	792
NECAP1	948	1428
NECAP2	4044	3438
NEDD1	1028	1249
NEDD4	1181	1490
NEDD4L	3153	4487
NEDD8	1477	1166
NEDD8-MDP1	0	0
NEDD9	4477	2989
NEFH	908	67
NEFL	0	10
NEFM	8	14
NEGR1	111	4294
NEIL1	99	580
NEIL2	723	1286
NEIL3	338	20
NEK1	929	1743
NEK10	30	406
NEK11	404	672
NEK2	2581	48
NEK3	234	565
NEK4	790	1085
NEK5	98	104
NEK6	4306	2664
NEK7	3325	11383
NEK8	234	91
NEK9	1986	9629
NELFA	1723	855
NELFB	4410	2748
NELFCD	17269	3457
NELFE	2668	2766
NELL1	4	4
NELL2	46	166
NEMF	1588	2181
NENF	3532	2610
NEO1	2587	3903
NES	36620	6708
NET1	14267	19338
NETO1	98	40
NETO2	1340	165
NEU1	5202	2612
NEU2	0	0
NEU3	592	645
NEU4	8	4
NEURL1	9	14
NEURL1B	1483	4872
NEURL2	10	11
NEURL3	70	39
NEURL4	1114	549
NEUROD1	0	0
NEUROD2	3	4
NEUROD4	0	0
NEUROD6	0	0
NEUROG1	0	0
NEUROG2	0	14
NEUROG3	0	6
NEXN	531	2384
NF1	4253	6554
NF2	6037	2207
NFAM1	495	404
NFASC	1576	1965
NFAT5	1793	4496
NFATC1	2482	1428
NFATC2	933	1926
NFATC2IP	1455	1750
NFATC3	1157	2678
NFATC4	678	1858
NFE2	34	18
NFE2L1	12364	24058
NFE2L2	6229	7000
NFE2L3	2492	281
NFE4	10	1
NFIA	3197	11484
NFIB	4796	17703
NFIC	6518	19179
NFIL3	3153	1860
NFIX	8393	18608
NFKB1	3147	3664
NFKB2	4223	1146
NFKBIA	7279	3426
NFKBIB	2464	451
NFKBID	459	140
NFKBIE	1489	269
NFKBIL1	1022	511
NFKBIZ	415	779
NFRKB	2100	1766
NFS1	1244	1086
NFU1	1094	2981
NFX1	2253	3382
NFXL1	496	422
NFYA	2623	1397
NFYB	1570	2483
NFYC	3226	1933
NGB	0	0
NGDN	1981	1281
NGEF	951	71
NGF	62	42
NGFR	30	1218
NGLY1	1314	1601
NGRN	458	856
NHEJ1	279	272
NHLH1	24	2
NHLH2	0	8
NHLRC1	261	185
NHLRC2	1530	3508
NHLRC3	773	3499
NHLRC4	11	53
NHP2	2190	822
NHS	324	1098
NHSL1	2111	1010
NHSL2	918	2617
NICN1	0	0
NID1	8153	17019
NID2	2345	2293
NIF3L1	1489	985
NIFK	1994	827
NIM1K	36	45
NIN	3133	3599
NINJ1	2499	3892
NINJ2	355	406
NINL	1168	401
NIP7	1456	1015
NIPA1	1271	1001
NIPA2	1882	1470
NIPAL1	243	100
NIPAL2	1391	1978
NIPAL3	3581	2158
NIPAL4	24	7
NIPBL	8015	5894
NIPSNAP1	7424	1209
NIPSNAP3A	906	2272
NIPSNAP3B	99	3345
NISCH	3369	6871
NIT1	1432	1879
NIT2	3962	2414
NKAIN1	294	39
NKAIN2	14	67
NKAIN3	77	34
NKAIN4	8	7
NKAP	1613	1043
NKAPL	21	181
NKD1	291	359
NKD2	306	50
NKG7	103	259
NKIRAS1	401	1083
NKIRAS2	6819	1853
NKPD1	38	18
NKRF	822	430
NKTR	2713	4613
NKX1-1	0	0
NKX1-2	187	10
NKX2-1	9	0
NKX2-2	1	0
NKX2-3	4	0
NKX2-4	0	0
NKX2-5	1	9
NKX2-6	0	0
NKX2-8	4	3
NKX3-1	482	191
NKX3-2	48	7
NKX6-1	25	6
NKX6-2	0	0
NKX6-3	0	0
NLE1	1106	858
NLGN1	5	323
NLGN2	3258	1514
NLGN3	30	126
NLGN4X	10	265
NLGN4Y	0	2
NLK	1050	895
NLN	2210	1101
NLRC3	79	242
NLRC4	133	158
NLRC5	1405	1469
NLRP1	572	2450
NLRP10	2	2
NLRP11	1	4
NLRP12	60	22
NLRP13	0	0
NLRP14	1	8
NLRP2	7535	42
NLRP3	73	177
NLRP4	0	0
NLRP5	1	2
NLRP6	2	1
NLRP7	2	2
NLRP8	0	1
NLRP9	6	3
NLRX1	834	2137
NMB	1386	2512
NMBR	1	4
NMD3	4152	3430
NME1	1561	241
NME1-NME2	0	0
NME2	30	11
NME3	922	962
NME4	5390	4651
NME5	61	118
NME6	1867	1134
NME7	407	535
NME8	2	14
NME9	15	15
NMI	1431	956
NMNAT1	784	794
NMNAT2	37	1608
NMNAT3	200	642
NMRAL1	3017	1273
NMRK1	822	2242
NMRK2	1	0
NMS	0	0
NMT1	5021	8137
NMT2	1671	4078
NMU	22	2
NMUR1	29	1012
NMUR2	4	2
NNAT	46	735
NNMT	4900	6807
NNT	5547	7837
NOA1	1085	1397
NOB1	1590	1605
NOBOX	0	0
NOC2L	8665	1972
NOC3L	1043	1248
NOC4L	1035	412
NOD1	709	901
NOD2	368	72
NODAL	16	29
NOG	59	9
NOL10	2781	1275
NOL11	5501	2257
NOL12	115	97
NOL3	3219	1263
NOL4	13	9
NOL4L	3973	2151
NOL6	4001	1844
NOL7	2969	1826
NOL8	1612	2219
NOL9	1714	1356
NOLC1	8753	3548
NOM1	2533	1073
NOMO1	10095	1828
NOMO2	1103	702
NOMO3	418	206
NONO	28114	13832
NOP10	3752	2219
NOP14	1725	1317
NOP16	1089	346
NOP2	25	13
NOP56	9434	3079
NOP58	4004	1395
NOP9	1963	1295
NOS1	3	13
NOS1AP	196	128
NOS2	245	42
NOS3	322	856
NOSIP	5737	1430
NOSTRIN	292	2473
NOTCH1	8658	4981
NOTCH2	19334	24640
NOTCH3	16845	10483
NOTCH4	1500	4129
NOTO	0	0
NOTUM	80	0
NOVA1	16	5028
NOVA2	381	923
NOX1	46	30
NOX3	0	0
NOX4	922	1238
NOX5	80	64
NOXA1	205	142
NOXO1	0	0
NOXRED1	39	17
NPAP1	0	9
NPAS1	32	11
NPAS2	3522	317
NPAS3	252	271
NPAS4	1	3
NPAT	988	1164
NPB	0	0
NPBWR1	22	2
NPBWR2	0	0
NPC1	2943	2842
NPC1L1	33	115
NPC2	6701	6687
NPDC1	371	2254
NPEPL1	241	254
NPEPPS	4366	5576
NPFF	0	0
NPFFR1	58	21
NPFFR2	0	24
NPHP1	256	370
NPHP3	236	384
NPHP4	892	449
NPHS1	3	1
NPHS2	0	0
NPIPA2	0	31
NPIPA5	0	118
NPIPA7	2	1
NPIPA8	0	0
NPIPB3	75	53
NPIPB5	51	69
NPIPB6	3	6
NPL	317	849
NPLOC4	12798	7586
NPM1	28813	23541
NPM2	43	19
NPM3	1841	343
NPNT	4028	879
NPPA	1	0
NPPB	0	0
NPPC	25	5
NPR1	548	15147
NPR2	766	2812
NPR3	939	4792
NPRL2	965	746
NPRL3	2684	2649
NPS	0	0
NPSR1	5	0
NPTN	4304	6266
NPTX1	16	107
NPTX2	114	15
NPTXR	2841	1265
NPVF	0	0
NPW	12	1
NPY	6	3
NPY1R	438	2653
NPY2R	2	122
NPY4R	3	0
NPY5R	31	325
NQO1	3412	4413
NQO2	2169	1346
NR0B1	0	19
NR0B2	0	0
NR1D1	864	2270
NR1D2	1675	7913
NR1H2	5839	3177
NR1H3	516	3932
NR1H4	0	0
NR1I2	10	6
NR1I3	124	18
NR2C1	705	1325
NR2C2	1994	3392
NR2C2AP	743	396
NR2E1	0	2
NR2E3	7	11
NR2F1	438	1616
NR2F2	3789	5894
NR2F6	2309	1134
NR3C1	2207	21656
NR3C2	138	1397
NR4A1	3152	404
NR4A2	244	258
NR4A3	78	90
NR5A1	8	0
NR5A2	191	601
NR6A1	297	85
NRAP	5	0
NRARP	482	499
NRAS	5132	2539
NRBF2	1880	1673
NRBP1	11927	5210
NRBP2	1657	2259
NRCAM	203	132
NRDE2	489	878
NREP	327	122
NRF1	1006	808
NRG1	422	631
NRG2	17	171
NRG3	34	14
NRG4	27	9
NRGN	94	154
NRIP1	4298	10733
NRIP2	94	429
NRIP3	495	81
NRK	10	136
NRL	46	92
NRM	840	611
NRN1	1366	7186
NRN1L	0	0
NRP1	6204	18339
NRP2	3687	3425
NRROS	355	706
NRSN1	2	1
NRSN2	3554	1242
NRTN	389	8
NRXN1	192	131
NRXN2	109	111
NRXN3	119	50
NSA2	2666	5692
NSD1	9124	5705
NSDHL	2351	1274
NSF	2423	1548
NSFL1C	6325	4063
NSG1	14	193
NSL1	583	1612
NSMAF	2105	2670
NSMCE1	1387	2231
NSMCE2	1660	895
NSMCE4A	1040	1727
NSMF	3610	1293
NSRP1	1405	2261
NSUN2	10796	2165
NSUN3	701	720
NSUN4	1830	1484
NSUN5	2013	662
NSUN6	742	483
NSUN7	177	97
NT5C	644	296
NT5C1A	2	2
NT5C1B	4	3
NT5C1B-RDH14	0	0
NT5C2	1988	1325
NT5C3A	1401	1151
NT5C3B	4113	2228
NT5DC1	1142	3426
NT5DC2	9097	1335
NT5DC3	2648	1062
NT5DC4	34	0
NT5E	2587	4558
NT5M	357	151
NTAN1	2951	1577
NTF3	121	59
NTF4	32	10
NTHL1	602	315
NTM	2200	1720
NTMT1	792	371
NTN1	1694	1478
NTN3	1	14
NTN4	1720	5290
NTN5	132	27
NTNG1	11	105
NTNG2	65	51
NTPCR	3648	2472
NTRK1	21	12
NTRK2	681	25052
NTRK3	84	872
NTS	0	7
NTSR1	42	3
NTSR2	6	11
NUAK1	2308	3960
NUAK2	434	100
NUB1	4146	4688
NUBP1	236	342
NUBP2	2235	1151
NUBPL	401	1952
NUCB1	27661	16070
NUCB2	2395	4203
NUCKS1	17028	29129
NUDC	6970	3948
NUDCD1	3814	963
NUDCD2	933	1434
NUDCD3	8202	7634
NUDT1	2108	391
NUDT10	40	60
NUDT11	96	106
NUDT12	295	1113
NUDT13	65	120
NUDT14	1037	701
NUDT15	1147	1213
NUDT16	1794	4474
NUDT16L1	1509	819
NUDT17	90	82
NUDT18	231	378
NUDT19	3421	864
NUDT2	1170	1047
NUDT21	4511	5974
NUDT22	811	375
NUDT3	38	10
NUDT4	1359	2871
NUDT5	5132	2425
NUDT6	44	177
NUDT7	7	233
NUDT8	268	273
NUDT9	873	1618
NUF2	2003	49
NUFIP1	537	384
NUFIP2	6030	6201
NUGGC	2	53
NUMA1	6328	10739
NUMB	3044	4555
NUMBL	2755	1600
NUP107	1616	1954
NUP133	3545	4072
NUP153	5876	3461
NUP155	7566	1983
NUP160	3062	3045
NUP188	3807	2793
NUP205	13337	2461
NUP210	3738	559
NUP210L	16	3
NUP214	3565	3878
NUP35	926	475
NUP37	744	574
NUP43	1560	1814
NUP50	3843	2825
NUP54	1692	2481
NUP62	8699	1764
NUP62CL	16	15
NUP85	4960	1467
NUP88	3366	1638
NUP93	4552	1460
NUP98	7232	6378
NUPR1	568	729
NUS1	1844	1698
NUSAP1	5	3
NUTF2	5894	2769
NUTM1	16	9
NUTM2A	16	14
NUTM2B	6	4
NUTM2D	37	42
NUTM2F	1	0
NUTM2G	33	8
NVL	1174	861
NWD1	116	26
NWD2	1	144
NXF1	3756	2854
NXF2	0	0
NXF2B	0	0
NXF3	5	29
NXF4	0	0
NXF5	0	5
NXN	5042	1312
NXNL1	0	19
NXNL2	12	24
NXPE1	0	0
NXPE2	3	5
NXPE3	491	1426
NXPE4	1	5
NXPH1	2	3
NXPH2	0	0
NXPH3	465	1082
NXPH4	1123	60
NXT1	1866	391
NXT2	865	941
NYAP1	16	53
NYAP2	6	7
NYNRIN	6407	3146
NYX	2	0
OAF	1364	5178
OARD1	573	1447
OAS1	2790	1227
OAS2	6075	2762
OAS3	7273	2979
OASL	1201	181
OAT	12887	7188
OAZ1	13327	15802
OAZ2	6190	4444
OAZ3	173	45
OBP2A	20	2
OBP2B	61	14
OBSCN	2045	635
OBSL1	5163	2895
OC90	0	0
OCA2	75	16
OCEL1	403	934
OCIAD1	3062	7146
OCIAD2	2331	544
OCLN	649	198
OCM	1	1
OCM2	0	0
OCRL	3713	3731
OCSTAMP	1	0
ODAM	5806	4
ODC1	4593	2919
ODF1	0	0
ODF2	3126	1291
ODF2L	2300	1775
ODF3	3	1
ODF3B	222	465
ODF3L1	6	41
ODF3L2	4	10
ODF4	0	1
OFD1	1669	1299
OGDH	8815	13109
OGDHL	99	4
OGFOD1	1974	1786
OGFOD2	29	11
OGFOD3	2591	1408
OGFR	2635	1059
OGFRL1	6371	5321
OGG1	814	840
OGN	66	19392
OGT	8507	10185
OIP5	71	13
OIT3	20	0
OLA1	7299	4155
OLAH	46	10
OLFM1	5150	1832
OLFM2	4259	3427
OLFM3	4	0
OLFM4	136	547
OLFML1	273	3786
OLFML2A	4492	6020
OLFML2B	2512	2636
OLFML3	2004	7520
OLIG1	41	0
OLIG2	46	0
OLIG3	0	0
OLR1	283	56
OMA1	608	721
OMD	27	2539
OMG	7	37
OMP	1	1
ONECUT1	0	2
ONECUT2	51	12
ONECUT3	3	1
OOEP	58	10
OOSP2	0	0
OPA1	6132	5646
OPA3	4964	1228
OPALIN	0	0
OPCML	209	64
OPHN1	1159	1524
OPLAH	35	994
OPN1LW	0	0
OPN1MW	0	0
OPN1MW2	0	0
OPN1SW	1	1
OPN3	601	115
OPN4	1	25
OPN5	0	0
OPRD1	62	32
OPRK1	162	146
OPRL1	13	22
OPRM1	0	0
OPTC	0	1
OPTN	12909	13396
OR10A2	0	0
OR10A3	0	1
OR10A4	0	0
OR10A5	0	0
OR10A6	0	2
OR10A7	0	0
OR10AD1	5	4
OR10AG1	0	0
OR10C1	0	0
OR10D3	0	0
OR10G2	0	0
OR10G3	0	0
OR10G4	0	0
OR10G7	0	0
OR10G8	0	0
OR10G9	0	0
OR10H1	1	1
OR10H2	0	0
OR10H3	0	0
OR10H4	0	0
OR10H5	2	2
OR10J1	0	0
OR10J5	0	0
OR10K1	0	1
OR10K2	0	0
OR10P1	0	0
OR10Q1	20	0
OR10R2	0	0
OR10S1	0	0
OR10T2	0	0
OR10V1	0	0
OR10W1	0	0
OR10X1	0	0
OR10Z1	0	0
OR11A1	0	0
OR11G2	0	0
OR11H1	0	0
OR11H12	0	0
OR11H2	0	0
OR11H4	0	0
OR11H6	0	1
OR11L1	0	0
OR12D2	0	0
OR12D3	0	0
OR13A1	5	0
OR13C2	0	0
OR13C3	0	0
OR13C4	0	0
OR13C5	0	0
OR13C8	0	0
OR13C9	0	0
OR13D1	0	0
OR13F1	0	0
OR13G1	0	0
OR13H1	0	0
OR13J1	12	2
OR14A16	0	1
OR14C36	0	0
OR14I1	0	0
OR14J1	0	0
OR1A1	0	0
OR1A2	0	0
OR1B1	0	1
OR1C1	0	0
OR1D2	0	0
OR1D5	0	0
OR1E1	3	2
OR1E2	2	0
OR1F1	4	0
OR1G1	1	0
OR1I1	0	0
OR1J1	0	0
OR1J2	1	0
OR1J4	3	0
OR1K1	0	0
OR1L1	0	1
OR1L3	0	0
OR1L4	0	0
OR1L6	0	0
OR1L8	3	7
OR1M1	1	0
OR1N1	0	0
OR1N2	0	0
OR1Q1	2	0
OR1S1	0	0
OR1S2	0	0
OR2A1	3	12
OR2A12	0	4
OR2A14	0	0
OR2A2	0	0
OR2A25	0	1
OR2A4	0	0
OR2A42	6	15
OR2A5	1	2
OR2A7	13	53
OR2AE1	0	4
OR2AG1	0	0
OR2AG2	1	1
OR2AK2	0	0
OR2AP1	0	0
OR2AT4	0	0
OR2B11	0	5
OR2B2	0	0
OR2B3	0	0
OR2B6	23	0
OR2C1	0	6
OR2C3	0	3
OR2D2	1	0
OR2D3	0	0
OR2F1	0	3
OR2F2	0	1
OR2G2	0	0
OR2G3	0	0
OR2G6	0	0
OR2H1	0	0
OR2H2	13	1
OR2J2	0	0
OR2J3	0	0
OR2K2	2	1
OR2L13	0	1
OR2L2	0	1
OR2L3	0	0
OR2L5	0	1
OR2L8	0	0
OR2M2	0	0
OR2M3	0	0
OR2M4	0	0
OR2M5	0	0
OR2M7	0	0
OR2S2	3	0
OR2T1	0	0
OR2T10	0	0
OR2T11	0	0
OR2T12	0	0
OR2T2	0	0
OR2T27	0	0
OR2T29	1	0
OR2T3	0	0
OR2T33	0	0
OR2T34	0	0
OR2T35	0	0
OR2T4	0	0
OR2T5	0	0
OR2T6	0	0
OR2T8	0	2
OR2V1	0	0
OR2V2	0	1
OR2W1	0	0
OR2W3	1	2
OR2Y1	0	0
OR2Z1	0	0
OR3A1	0	3
OR3A2	0	5
OR3A3	0	1
OR4A15	0	0
OR4A16	0	0
OR4A47	0	0
OR4A5	0	0
OR4B1	0	0
OR4C11	0	0
OR4C12	0	0
OR4C13	0	0
OR4C15	0	0
OR4C16	0	0
OR4C3	0	0
OR4C45	0	0
OR4C46	0	0
OR4C5	0	0
OR4C6	0	0
OR4D1	0	0
OR4D10	0	0
OR4D11	0	0
OR4D2	0	0
OR4D5	0	0
OR4D6	0	0
OR4D9	0	0
OR4E2	0	0
OR4F15	0	0
OR4F16	0	0
OR4F17	0	0
OR4F4	0	0
OR4F5	0	0
OR4F6	0	0
OR4K1	0	2
OR4K13	0	1
OR4K14	0	0
OR4K15	0	0
OR4K17	1	0
OR4K2	0	0
OR4K5	0	0
OR4L1	0	0
OR4M1	0	0
OR4M2	0	0
OR4N2	0	1
OR4N4	0	0
OR4N5	0	0
OR4P4	0	0
OR4S1	0	0
OR4S2	0	0
OR4X1	0	0
OR4X2	0	0
OR51A2	0	0
OR51A4	0	0
OR51A7	0	0
OR51B2	0	0
OR51B4	0	0
OR51B5	0	1
OR51B6	0	0
OR51D1	0	0
OR51E1	242	605
OR51E2	42	18
OR51F1	0	0
OR51F2	0	0
OR51G1	0	0
OR51G2	0	0
OR51I1	0	0
OR51I2	0	0
